"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
104019,,,"ZEN110503.06",227597,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.083333,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
105424,,,"PE031204, 1",227974,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","12/03/2004",2004,12,3,"MAYOTTE",,,,,"FRANCE",-12.983333,1,"Minute",44.983333,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Lat long changed from 44.983333, 12.98333 because it did not match collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105425,,,"PE031204, 2",227975,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","12/03/2004",2004,12,3,"MAYOTTE",,,,,"FRANCE",-13.016666,1,"Minute",45.3,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Latitude changed from 13.016666, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105426,,,"PE031204, 3",227976,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","12/03/2004",2004,12,3,"MAYOTTE",,,,,"FRANCE",-12.8,1,"Minute",45.3,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Latitude changed from 12.8, because it did not match collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105427,,,"PE031204, 4",227977,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","12/03/2004",2004,12,3,"MAYOTTE",,,,,"FRANCE",-12.983333,1,"Minute",45.25,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Lat long changed from 45.25, 12.983333, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105428,,,"PE260105, 1",227978,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","01/26/2005",2005,1,26,"MAYOTTE",,,,,"FRANCE",-13,1,"Minute",45,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Lat long changed from 45, 13, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105429,,,"PE260105, 2",227979,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","01/26/2005",2005,1,26,"MAYOTTE",,,,,"FRANCE",-12.9,1,"Minute",45.266666,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Lat long changed from 45.266666, 12.9, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105430,,,"PE260105, 3",227980,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","01/26/2005",2005,1,26,"MAYOTTE",,,,,"FRANCE",-12.55,1,"Minute",45.083333,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Lat long changed from 45.083333, 12.55, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105431,,,"PE260105, 4",227981,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","01/26/2005",2005,1,26,"MAYOTTE",,,,,"FRANCE",-12.983333,1,"Minute",45.25,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Latitude changed from 12.983333, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
105432,,,"PE210705,1",227982,,,,,,,,"BIOPSY (PROJECTILE)",539,"JEREMY KISZKA",538,"UNIVERSITE DE LA ROCHELLE, Institut du Littoral et de l'Environnement",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","07/21/2005",2005,7,21,"MAYOTTE",,,,,"FRANCE",-12.95,1,"Minute",45.25,1,"Minute",3,"Indian Ocean","U",,2/27/2012 0:00:00,,"14 Jan 2021: Latitude changed from 12.95, because it did not match the collection locality.",5/31/2012 16:27:01,"dan.prosperi",6/7/2022 16:22:12
